日期,产品,比例,用户数,操盘数,保证金总额,借款总额
20150317,免费体验,1:2000,1,1,3.00,2000.00
20150318,天天配,1:1,1,1,2000.00,2000.00
20150318,天天配,1:2,1,1,2000.00,4000.00
20150318,免费体验,1:2000,4,4,4.00,8000.00
20150319,天天配,1:1,2,3,6000.00,6000.00
20150319,天天配,1:2,1,1,2700.00,4000.00
20150319,月月配,1:1,3,3,5966.00,6000.00
20150319,月月配,1:2,1,1,2000.00,4000.00
20150319,免费体验,1:2000,3,3,3.00,6000.00
20150320,天天配,1:1,1,1,2000.00,2000.00
20150320,天天配,1:2,1,1,2000.00,4000.00
20150320,天天配,1:3,1,1,2000.00,6000.00
20150320,天天配,1:4,2,2,6000.00,24000.00
20150320,月月配,1:1,1,1,1964.00,2000.00
20150320,月月配,1:2,1,2,4000.00,8000.00
20150320,月月配,1:3,1,1,2000.00,6000.00
20150320,月月配,1:4,2,2,4000.00,16000.00
20150320,免费体验,1:2000,1,1,1.00,2000.00
20150323,月月配,1:3,1,1,2000.00,6000.00
20150324,天天配,1:4,1,1,2000.00,8000.00
20150324,月月配,1:3,1,1,2000.00,6000.00
20150324,月月配,1:4,1,1,83520.00,360000.00
20150325,天天配,1:1,1,1,2000.00,2000.00
20150326,天天配,1:1,1,1,2062.16,2000.00
20150326,月月配,1:2,1,1,2001.27,4000.00
20150326,月月配,1:4,2,2,4295.08,16000.00
20150326,免费体验,1:2000,5,5,5.00,10000.00
20150327,天天配,1:1,3,4,7997.00,8000.00
20150327,天天配,1:2,2,2,4912.00,8000.00
20150327,天天配,1:3,1,1,2801.00,6000.00
20150327,天天配,1:4,2,2,4922.00,20000.00
20150327,月月配,1:1,3,4,8004.00,8000.00
20150327,月月配,1:4,1,1,2701.00,8000.00
20150327,免费体验,1:2000,5,5,5.00,10000.00
20150330,天天配,1:1,1,1,1997.00,2000.00
20150330,月月配,1:1,2,2,4002.22,4000.00
20150330,免费体验,1:2000,2,2,2.00,4000.00
20150331,天天配,1:1,1,1,2000.00,2000.00
20150331,天天配,1:4,1,1,2000.00,8000.00
20150331,月月配,1:1,1,1,2011.11,2000.00
20150331,月月配,1:4,1,2,5882.00,24000.00
20150331,免费体验,1:2000,1,1,1.00,2000.00
20150401,月月配,1:1,1,1,2000.00,2000.00
20150401,月月配,1:4,3,4,41650.00,224000.00
20150401,超低佣金,1:1,3,4,8002.22,8000.00
20150401,超低佣金,1:3,2,2,4000.00,12000.00
20150401,超低佣金,1:4,6,6,24849.45,88000.00
20150401,免费体验,1:2000,72,72,72.00,144000.00
20150402,月月配,1:1,1,1,2001.11,2000.00
20150402,超低佣金,1:2,1,2,4002.22,8000.00
20150402,免费体验,1:2000,101,101,101.00,202000.00
20150403,月月配,1:4,2,2,13703.35,48000.00
20150403,超低佣金,1:3,1,1,2000.00,6000.00
20150403,超低佣金,1:4,2,2,42520.00,168000.00
20150403,免费体验,1:2000,52,52,52.00,104000.00
20150404,月月配,1:1,1,1,2000.00,2000.00
20150406,月月配,1:2,1,1,2000.00,4000.00
20150407,月月配,1:4,2,2,74444.00,232000.00
20150407,超低佣金,1:1,1,1,2000.00,2000.00
20150407,超低佣金,1:4,1,1,10000.00,40000.00
20150407,免费体验,1:2000,36,36,36.00,72000.00
20150408,月月配,1:1,2,2,4000.00,4000.00
20150408,月月配,1:4,3,4,112544.00,464000.00
20150408,超低佣金,1:4,1,2,99906.83,320000.00
20150408,免费体验,1:2000,50,50,50.00,100000.00
20150409,月月配,1:4,2,2,65000.00,248000.00
20150409,超低佣金,1:1,1,1,11372.00,2000.00
20150409,超低佣金,1:4,2,2,24000.00,96000.00
20150409,免费体验,1:2000,20,20,20.00,40000.00
20150410,月月配,1:4,2,2,14640.00,40000.00
20150410,超低佣金,1:1,1,1,5000.00,5000.00
20150410,超低佣金,1:2,1,1,2000.00,4000.00
20150410,超低佣金,1:4,2,2,60000.00,240000.00
20150410,免费体验,1:2000,20,20,20.00,40000.00
20150413,月月配,1:1,2,2,4100.00,4000.00
20150413,月月配,1:4,1,1,2000.00,8000.00
20150413,超低佣金,1:1,2,2,4068.88,4000.00
20150413,超低佣金,1:4,1,1,33000.00,132000.00
20150413,免费体验,1:2000,22,22,22.00,44000.00
20150414,月月配,1:4,2,2,27000.00,72000.00
20150414,超低佣金,1:1,1,1,1976.01,2000.00
20150414,超低佣金,1:4,4,4,481000.00,1924000.00
20150414,免费体验,1:2000,20,20,20.00,40000.00
20150415,月月配,1:1,1,1,2000.00,2000.00
20150415,月月配,1:4,2,2,24500.00,88000.00
20150415,超低佣金,1:1,1,2,4005.00,4000.00
20150415,超低佣金,1:3,1,1,30000.00,90000.00
20150415,超低佣金,1:4,5,6,880656.00,3008000.00
20150415,免费体验,1:2000,20,20,20.00,40000.00
20150416,月月配,1:4,1,1,6000.00,24000.00
20150416,超低佣金,1:1,1,1,2000.00,2000.00
20150416,超低佣金,1:3,1,1,4000.00,12000.00
20150416,超低佣金,1:4,3,3,138842.00,528000.00
20150416,免费体验,1:2000,16,16,16.00,32000.00
20150417,月月配,1:1,1,1,2001.00,2000.00
20150417,月月配,1:3,1,1,20000.00,60000.00
20150417,月月配,1:4,1,1,6000.00,24000.00
20150417,超低佣金,1:1,1,1,2002.00,2000.00
20150417,超低佣金,1:4,2,2,5346.00,16000.00
20150417,免费体验,1:2000,12,12,12.00,24000.00
20150419,超低佣金,1:4,1,1,100000.00,400000.00
20150420,月月配,1:1,1,1,2000.00,2000.00
20150420,月月配,1:4,2,2,6000.00,24000.00
20150420,超低佣金,1:1,1,1,10000.00,2000.00
20150420,超低佣金,1:2,1,1,16107.00,28000.00
20150420,超低佣金,1:4,3,3,196776.00,748000.00
20150420,免费体验,1:2000,10,10,10.00,20000.00
20150421,月月配,1:4,3,3,317351.00,768000.00
20150421,超低佣金,1:4,4,4,152880.00,616000.00
20150421,免费体验,1:2000,10,10,10.00,20000.00
20150422,月月配,1:1,1,1,1928.00,2000.00
20150422,月月配,1:4,3,4,14864.00,60000.00
20150422,超低佣金,1:3,1,1,2000.00,6000.00
20150422,超低佣金,1:4,5,5,193048.77,524000.00
20150422,免费体验,1:2000,15,15,15.00,30000.00
20150423,月月配,1:2,1,1,2000.00,4000.00
20150423,月月配,1:4,3,3,23000.00,72000.00
20150423,超低佣金,1:1,2,2,4001.00,4000.00
20150423,超低佣金,1:4,3,3,1083200.00,4416000.00
20150423,免费体验,1:2000,21,21,21.00,42000.00
20150424,月月配,1:2,1,1,7784.00,12000.00
20150424,月月配,1:3,1,1,45000.00,135000.00
20150424,月月配,1:4,6,6,30704.00,108000.00
20150424,超低佣金,1:1,1,1,2000.00,2000.00
20150424,超低佣金,1:3,4,5,90710.00,216000.00
20150424,超低佣金,1:4,9,9,735698.00,2316000.00
20150424,免费体验,1:2000,20,20,20.00,40000.00
20150425,超低佣金,1:4,1,1,25000.00,68000.00
20150426,月月配,1:4,2,2,15707.00,48000.00
20150427,月月配,1:1,1,1,5500.00,4000.00
20150427,月月配,1:3,2,2,47000.00,141000.00
20150427,月月配,1:4,9,9,36436.00,120000.00
20150427,超低佣金,1:2,2,2,7580.00,14000.00
20150427,超低佣金,1:4,5,5,105464.00,416000.00
20150427,免费体验,1:2000,11,11,11.00,22000.00
20150428,月月配,1:3,1,1,9000.00,27000.00
20150428,月月配,1:4,5,5,38256.00,116000.00
20150428,超低佣金,1:4,9,9,205804.00,712000.00
20150428,免费体验,1:2000,14,14,14.00,28000.00
20150429,天天配,1:1,1,4,8001.00,8000.00
20150429,月月配,1:1,1,1,2001.00,2000.00
20150429,月月配,1:2,1,1,5712.00,8000.00
20150429,月月配,1:4,2,2,10696.00,48000.00
20150429,超低佣金,1:1,1,1,2000.00,2000.00
20150429,超低佣金,1:2,1,1,7000.00,14000.00
20150429,超低佣金,1:3,1,1,23296.00,84000.00
20150429,超低佣金,1:4,7,7,125632.00,464000.00
20150429,免费体验,1:2000,10,10,10.00,20000.00
20150430,月月配,1:4,5,5,249300.00,832000.00
20150430,超低佣金,1:3,1,1,4122.72,9000.00
20150430,超低佣金,1:4,5,5,81552.00,288000.00
20150430,免费体验,1:2000,10,10,10.00,20000.00
20150503,超低佣金,1:4,1,1,2000.00,8000.00
20150504,天天配,1:1,1,1,1997.00,2000.00
20150504,月月配,1:3,1,1,13834.00,36000.00
20150504,月月配,1:4,4,4,46776.00,132000.00
20150504,超低佣金,1:3,1,1,23950.00,75000.00
20150504,超低佣金,1:4,7,7,125946.00,480000.00
20150504,免费体验,1:2000,10,10,10.00,20000.00
20150505,天天配,1:4,4,4,230324.00,828000.00
20150505,月月配,1:3,1,1,2676.00,9000.00
20150505,月月配,1:4,1,1,2000.00,8000.00
20150505,超低佣金,1:4,7,7,427862.00,1092000.00
20150505,免费体验,1:2000,11,11,11.00,22000.00
20150506,天天配,1:4,3,3,230184.00,360000.00
20150506,月月配,1:4,1,1,4000.00,16000.00
20150506,超低佣金,1:3,1,1,149381.05,195000.00
20150506,超低佣金,1:4,3,3,53402.00,84000.00
20150506,免费体验,1:2000,10,10,10.00,20000.00
20150507,天天配,1:4,1,1,2000.00,8000.00
20150507,月月配,1:1,1,1,2000.00,2000.00
20150507,月月配,1:3,1,1,2000.00,6000.00
20150507,月月配,1:4,2,2,4000.00,16000.00
20150507,超低佣金,1:2,1,1,20000.00,38000.00
20150507,超低佣金,1:4,4,4,345334.94,948000.00
20150507,免费体验,1:2000,10,10,10.00,20000.00
20150508,天天配,1:3,1,1,5000.00,15000.00
20150508,天天配,1:4,2,2,28000.00,112000.00
20150508,月月配,1:4,2,4,30000.00,120000.00
20150508,超低佣金,1:4,2,2,51355.94,148000.00
20150508,免费体验,1:2000,10,10,10.00,20000.00
20150510,月月配,1:4,1,1,20760.00,40000.00
20150510,超低佣金,1:2,1,1,50000.00,100000.00
20150511,天天配,1:1,1,1,2000.00,2000.00
20150511,天天配,1:4,3,3,74000.00,296000.00
20150511,月月配,1:3,1,1,35948.00,114000.00
20150511,月月配,1:4,3,4,66000.00,264000.00
20150511,超低佣金,1:3,1,1,35000.00,105000.00
20150511,超低佣金,1:4,11,11,267620.22,916000.00
20150511,免费体验,1:2000,10,10,10.00,20000.00
20150512,天天配,1:1,1,1,2000.00,2000.00
20150512,天天配,1:4,2,2,45000.00,180000.00
20150512,月月配,1:4,2,2,26312.00,88000.00
20150512,超低佣金,1:3,1,1,65000.00,105000.00
20150512,超低佣金,1:4,1,1,4000.00,16000.00
20150512,免费体验,1:2000,10,10,10.00,20000.00
20150513,天天配,1:1,1,1,2000.00,2000.00
20150513,天天配,1:4,3,3,560920.00,1088000.00
20150513,月月配,1:1,1,1,2000.00,2000.00
20150513,月月配,1:3,1,1,8500.00,24000.00
20150513,月月配,1:4,4,4,88976.00,384000.00
20150513,超低佣金,1:1,1,1,2011.00,2000.00
20150513,超低佣金,1:4,4,4,76000.00,276000.00
20150513,免费体验,1:2000,12,12,12.00,24000.00
20150514,天天配,1:1,1,1,2200.00,2000.00
20150514,天天配,1:4,2,2,42000.00,168000.00
20150514,月月配,1:4,3,3,58816.00,228000.00
20150514,超低佣金,1:2,1,1,2000.00,4000.00
20150514,超低佣金,1:4,5,5,344680.00,1008000.00
20150514,免费体验,1:2000,10,10,10.00,20000.00
20150515,天天配,1:1,1,1,2000.00,2000.00
20150515,天天配,1:4,2,2,7838.00,20000.00
20150515,月月配,1:2,1,2,46560.00,80000.00
20150515,月月配,1:3,1,1,118410.00,270000.00
20150515,月月配,1:4,4,5,18310.00,68000.00
20150515,超低佣金,1:4,2,2,84672.00,260000.00
20150515,免费体验,1:2000,5,5,5.00,10000.00
20150517,月月配,1:4,1,1,2000.00,8000.00
20150518,月月配,1:3,2,2,38000.00,69000.00
20150518,月月配,1:4,2,2,756000.00,3216000.00
